Scopus analyze results values - Year

"Your query : (TITLE-ABS-KEY(stochastic vehicle routing problem))"


Number of results : 441

"YEAR",
"2014","20"
"2013","57"
"2012","35"
"2011","48"
"2010","45"
"2009","50"
"2008","32"
"2007","32"
"2006","17"
"2005","20"
"2004","16"
"2003","9"
"2002","11"
"2001","7"
"2000","4"
"1999","8"
"1998","1"
"1997","2"
"1996","6"
"1995","5"
"1994","1"
"1993","3"
"1992","4"
"1989","2"
"1987","1"
"1986","1"
"1984","1"
"1983","1"
"1980","1"
"1979","1"
